ACURACY DataSet\Algorithm,TT_20_3,TT_20_6,TT_20_9,TT_20_12,TT_30_3,TT_30_6,TT_30_9,TT_30_12,TT_40_3,TT_40_6,TT_40_9,TT_40_12,TT_50_3,TT_50_6,TT_50_9,TT_50_12,TT_60_3,TT_60_6,TT_60_9,TT_60_12,C99_20_9_false,C99_20_9_true,C99_20_11_false,C99_20_11_true,C99_40_9_false,C99_40_9_true,C99_40_11_false,C99_40_11_true,C99_60_9_false,C99_60_9_true,C99_60_11_false,C99_60_11_true,C99_80_9_false,C99_80_9_true,C99_80_11_false,C99_80_11_true,C99_100_9_false,C99_100_9_true,C99_100_11_false,C99_100_11_true
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.411765,0.470588,0.529412,0.529412,0.411765,0.529412,0.647059,0.470588,0.411765,0.529412,0.529412,0.470588,0.352941,0.411765,0.588235,0.529412,0.352941,0.588235,0.647059,0.647059,0.705882,0.588235,0.705882,0.588235,0.647059,0.647059,0.647059,0.647059,0.529412,0.647059,0.411765,0.647059,0.470588,0.470588,0.470588,0.470588,0.352941,0.352941,0.352941,0.352941
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.375000,0.541667,0.666667,0.708333,0.416667,0.625000,0.666667,0.666667,0.458333,0.583333,0.583333,0.541667,0.416667,0.583333,0.541667,0.458333,0.416667,0.541667,0.583333,0.625000,0.583333,0.750000,0.583333,0.750000,0.583333,0.833333,0.583333,0.833333,0.625000,0.791667,0.625000,0.791667,0.541667,0.625000,0.541667,0.625000,0.416667,0.416667,0.416667,0.416667
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.555556,0.555556,0.777778,0.666667,0.555556,0.555556,0.666667,0.666667,0.555556,0.444444,0.777778,0.777778,0.555556,0.888889,0.777778,0.666667,0.666667,0.666667,0.666667,0.666667,0.777778,0.777778,0.777778,0.777778,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.777778,0.777778,0.777778,0.777778,0.555556,0.555556,0.555556,0.555556
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.387097,0.483871,0.516129,0.612903,0.451613,0.483871,0.516129,0.677419,0.451613,0.516129,0.483871,0.645161,0.451613,0.516129,0.548387,0.645161,0.451613,0.580645,0.645161,0.612903,0.677419,0.806452,0.677419,0.677419,0.645161,0.709677,0.645161,0.774194,0.580645,0.580645,0.580645,0.580645,0.483871,0.483871,0.483871,0.483871,0.322581,0.322581,0.322581,0.322581
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.360000,0.560000,0.600000,0.640000,0.480000,0.600000,0.760000,0.680000,0.560000,0.680000,0.680000,0.760000,0.480000,0.680000,0.760000,0.800000,0.600000,0.720000,0.600000,0.760000,0.600000,0.600000,0.600000,0.600000,0.640000,0.640000,0.720000,0.720000,0.680000,0.600000,0.680000,0.520000,0.560000,0.480000,0.560000,0.480000,0.360000,0.360000,0.360000,0.360000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.391304,0.478261,0.478261,0.565217,0.478261,0.434783,0.608696,0.608696,0.391304,0.521739,0.565217,0.608696,0.478261,0.521739,0.608696,0.608696,0.391304,0.391304,0.521739,0.608696,0.608696,0.695652,0.608696,0.695652,0.608696,0.608696,0.695652,0.608696,0.565217,0.565217,0.565217,0.565217,0.391304,0.391304,0.391304,0.391304,0.304348,0.304348,0.304348,0.304348
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.764706,0.647059,0.529412,0.588235,0.764706,0.588235,0.470588,0.470588,0.764706,0.588235,0.470588,0.470588,0.823529,0.588235,0.588235,0.470588,0.647059,0.529412,0.588235,0.588235,0.235294,0.235294,0.235294,0.235294,0.294118,0.411765,0.294118,0.411765,0.411765,0.529412,0.411765,0.529412,0.588235,0.705882,0.588235,0.705882,0.823529,0.823529,0.823529,0.823529
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.480000,0.400000,0.440000,0.480000,0.440000,0.560000,0.440000,0.440000,0.480000,0.600000,0.600000,0.400000,0.520000,0.440000,0.400000,0.320000,0.440000,0.360000,0.440000,0.400000,0.440000,0.520000,0.440000,0.520000,0.520000,0.600000,0.520000,0.600000,0.560000,0.720000,0.560000,0.640000,0.560000,0.640000,0.560000,0.560000,0.600000,0.600000,0.600000,0.600000
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.700000,0.700000,0.500000,0.400000,0.700000,0.700000,0.400000,0.400000,0.700000,0.600000,0.300000,0.300000,0.700000,0.400000,0.300000,0.400000,0.600000,0.600000,0.400000,0.400000,0.300000,0.300000,0.300000,0.300000,0.400000,0.400000,0.400000,0.400000,0.400000,0.600000,0.400000,0.600000,0.500000,0.700000,0.500000,0.700000,0.700000,0.700000,0.700000,0.700000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.406250,0.437500,0.468750,0.500000,0.406250,0.437500,0.468750,0.562500,0.468750,0.468750,0.375000,0.531250,0.468750,0.468750,0.500000,0.531250,0.468750,0.468750,0.593750,0.437500,0.562500,0.625000,0.562500,0.437500,0.593750,0.593750,0.593750,0.593750,0.531250,0.593750,0.531250,0.531250,0.500000,0.500000,0.500000,0.500000,0.406250,0.406250,0.406250,0.406250
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.615385,0.384615,0.346154,0.384615,0.615385,0.500000,0.346154,0.346154,0.653846,0.423077,0.346154,0.346154,0.615385,0.500000,0.500000,0.384615,0.653846,0.538462,0.423077,0.423077,0.269231,0.269231,0.269231,0.269231,0.384615,0.384615,0.384615,0.384615,0.461538,0.538462,0.461538,0.461538,0.576923,0.653846,0.576923,0.576923,0.692308,0.692308,0.692308,0.692308
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.461538,0.500000,0.461538,0.423077,0.538462,0.461538,0.538462,0.423077,0.461538,0.384615,0.615385,0.615385,0.500000,0.500000,0.500000,0.346154,0.423077,0.346154,0.423077,0.500000,0.423077,0.500000,0.423077,0.500000,0.500000,0.576923,0.500000,0.576923,0.461538,0.461538,0.461538,0.461538,0.384615,0.461538,0.384615,0.461538,0.384615,0.384615,0.384615,0.384615
